tournament_weight,roulette_weight,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
0.0,1.0,148300.0,8684.69918880326,156000,132600,890.4,109.6587433814559
0.1,0.9,151060.0,5904.777726553303,160900,146200,756.6,155.68763598950304
0.2,0.8,148720.0,8639.768515417529,159600,140900,538.0,153.62291495737216
0.30000000000000004,0.7,149920.0,4121.3589991652025,154800,142400,430.6,115.12532301800503
0.4,0.6,149620.0,2861.74771774173,153500,145700,518.0,114.13676007316836
0.5,0.5,150680.0,2814.5337091603647,155100,147400,569.4,138.58513628813157
0.6000000000000001,0.3999999999999999,149240.0,1984.5402490249473,152900,146900,468.8,97.58360518037853
0.7000000000000001,0.29999999999999993,148700.0,5665.686189686117,155100,141000,566.0,254.4444929645757
0.8,0.19999999999999996,148320.0,3907.6335549792793,152000,141300,702.8,192.35009747853002
0.9,0.09999999999999998,152340.0,4124.366618039672,157500,147300,568.4,230.42708174170846
1.0,0.0,155560.0,3731.2732411336483,159700,149000,478.4,90.43804509165376
