population_size,mutation_rate,elite_size,crossover_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
50,0.3,20,0.9,143033.33333333334,6605.721425821373,149300,133900,635.3333333333334,49.97554957732387
50,0.3,20,0.95,145633.33333333334,6897.503574160404,152500,136200,578.3333333333334,103.00916895543274
100,0.05,5,0.7,144500.0,3127.299154222378,148700,141200,557.6666666666666,59.12886116121485
100,0.05,5,0.8,153866.66666666666,2604.269997949948,156000,150200,625.6666666666666,150.8516563456372
100,0.05,5,0.9,151766.66666666666,6067.5823484774855,157600,143400,483.0,107.29709533191784
100,0.05,5,0.95,151000.0,4530.636452714637,157200,146500,665.3333333333334,130.3772304592417
100,0.05,10,0.7,146900.0,3302.5242870668894,149900,142300,707.0,94.16297927883689
100,0.05,10,0.8,149300.0,3758.545818087983,153800,144600,672.0,259.2154830766609
100,0.05,10,0.9,148100.0,1416.5686240583852,149200,146100,495.0,124.93464958395916
100,0.05,10,0.95,146166.66666666666,2407.3960113690387,149500,143900,460.6666666666667,44.01009985093068
100,0.05,20,0.7,147766.66666666666,7345.898326428308,154700,137600,482.6666666666667,119.56681070523801
100,0.05,20,0.8,153700.0,3367.491648096547,158200,150100,490.0,59.33520596295817
100,0.05,20,0.9,149866.66666666666,7259.629620181889,159400,141800,776.3333333333334,134.56431754204215
100,0.05,20,0.95,151766.66666666666,3087.96948747159,155800,148300,525.0,181.36703118262702
100,0.1,5,0.7,152833.33333333334,2801.586851926759,156500,149700,641.0,269.1554693233386
100,0.1,5,0.8,156566.66666666666,410.96093353126514,157100,156100,525.6666666666666,136.8949313240714
100,0.1,5,0.9,150433.33333333334,3468.268860525217,155000,146600,729.0,214.02024826325817
100,0.1,5,0.95,144533.33333333334,3262.241901242491,149000,141300,486.3333333333333,81.61835305588784
100,0.1,10,0.7,155833.33333333334,1701.6332024133626,158100,154000,570.0,175.59802580515154
100,0.1,10,0.8,153933.33333333334,2185.3044537445016,156800,151500,549.0,97.58415171874307
100,0.1,10,0.9,145900.0,2546.893532652409,149500,144000,389.6666666666667,85.49593882492638
100,0.1,10,0.95,151833.33333333334,2101.3223349965983,154800,150200,532.3333333333334,90.48142841980827
100,0.1,20,0.7,149666.66666666666,2684.937408746969,153400,147200,725.0,117.5443178833697
100,0.1,20,0.8,148333.33333333334,5657.639869140567,153200,140400,536.3333333333334,137.81710908140383
100,0.1,20,0.9,147000.0,9172.785836374902,156500,134600,326.0,63.26663154196426
100,0.1,20,0.95,151133.33333333334,1929.3061504650377,153800,149300,465.3333333333333,130.64285497322675
100,0.2,5,0.7,155833.33333333334,2080.5982045769647,157500,152900,462.3333333333333,101.37827950579727
100,0.2,5,0.8,152566.66666666666,2379.542439676633,154900,149300,614.0,163.51962165644423
100,0.2,5,0.9,153633.33333333334,2561.6834742454466,157200,151300,480.0,53.23532661682466
100,0.2,5,0.95,150800.0,5593.448548674303,158400,145100,501.6666666666667,134.23693811896766
100,0.2,10,0.7,152600.0,3715.7323190276593,157200,148100,401.0,53.372901988431046
100,0.2,10,0.8,145533.33333333334,5507.167047483569,150200,137800,404.3333333333333,107.55567033969999
100,0.2,10,0.9,152433.33333333334,3012.566274052001,156500,149300,527.6666666666666,94.99590634454846
100,0.2,10,0.95,145366.66666666666,7406.903686576613,152300,135100,534.3333333333334,163.92749074582403
100,0.2,20,0.7,150200.0,4543.860326491855,153900,143800,398.3333333333333,83.35599691817153
100,0.2,20,0.8,147000.0,7904.850831398823,154900,136200,429.0,39.60639678974429
100,0.2,20,0.9,151966.66666666666,1651.9348924485155,154300,150700,487.3333333333333,115.15014353250089
100,0.2,20,0.95,146266.66666666666,4633.453235858639,152500,141400,455.3333333333333,129.45097742217152
100,0.3,5,0.7,153233.33333333334,1811.6904322268256,155600,151200,608.3333333333334,154.92220269828624
100,0.3,5,0.8,153766.66666666666,849.8365855987975,154600,152600,380.3333333333333,43.39994879669279
100,0.3,5,0.9,156533.33333333334,5138.309276622245,161300,149400,425.0,78.20912137766712
100,0.3,5,0.95,154200.0,734.8469228349534,155100,153300,473.3333333333333,171.2820935052919
100,0.3,10,0.7,146900.0,7870.1969479804,154300,136000,475.0,100.58826969383657
100,0.3,10,0.8,152700.0,4082.48290463863,157700,147700,367.6666666666667,35.91038228083287
100,0.3,10,0.9,150200.0,7138.627319029899,157200,140400,395.0,94.13819628609845
100,0.3,10,0.95,155533.33333333334,1993.8795238317575,157500,152800,554.0,118.12987203356595
100,0.3,20,0.7,154100.0,2717.842281418601,156500,150300,513.0,132.39335330748293
100,0.3,20,0.8,148266.66666666666,6295.677529508286,156800,141800,381.0,77.58006616822821
