Guest ID,Table ID
1,7
2,7
3,2
4,2
5,7
6,5
7,3
8,3
9,0
10,3
11,5
12,5
13,3
14,3
15,2
16,7
17,7
18,7
19,7
20,0
21,0
22,7
23,2
24,2
25,2
26,5
27,5
28,5
29,4
30,4
31,4
32,0
33,0
34,4
35,5
36,5
37,6
38,6
39,5
40,4
41,4
42,4
43,4
44,6
45,6
46,1
47,0
48,0
49,1
50,6
51,3
52,3
53,3
54,1
55,2
56,2
57,6
58,6
59,1
60,6
61,1
62,1
63,1
64,1
