Guest ID,Table ID
1,5
2,5
3,7
4,7
5,1
6,2
7,1
8,1
9,1
10,1
11,4
12,4
13,4
14,4
15,7
16,2
17,2
18,2
19,1
20,1
21,1
22,2
23,5
24,5
25,5
26,2
27,2
28,2
29,0
30,0
31,0
32,4
33,4
34,0
35,0
36,0
37,3
38,5
39,3
40,6
41,6
42,6
43,6
44,5
45,3
46,3
47,3
48,3
49,3
50,5
51,6
52,6
53,6
54,6
55,4
56,4
57,0
58,0
59,7
60,3
61,7
62,7
63,7
64,7
