Guest ID,Table ID
1,7
2,7
3,7
4,7
5,5
6,1
7,7
8,7
9,7
10,7
11,4
12,4
13,4
14,4
15,4
16,1
17,5
18,1
19,5
20,5
21,5
22,1
23,5
24,5
25,5
26,1
27,1
28,1
29,3
30,3
31,3
32,3
33,3
34,3
35,6
36,6
37,4
38,2
39,0
40,0
41,0
42,0
43,0
44,2
45,6
46,4
47,3
48,3
49,4
50,2
51,0
52,0
53,0
54,1
55,2
56,2
57,2
58,2
59,6
60,2
61,6
62,6
63,6
64,6
